Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2003-07-09,MARUTI,EQ,125.0,164.9,170.4,155.0,164.0,164.3,165.95,35164283,583552816185000.0,,8537695.0,0.24280000000000002
2003-07-10,MARUTI,EQ,164.3,167.0,168.7,164.5,167.0,167.0,166.74,10464179,174481962120000.0,,4363947.0,0.41700000000000004
2003-07-11,MARUTI,EQ,167.0,167.75,174.85,166.25,173.6,173.35,172.45,11740117,202462154745000.0,,3014852.0,0.25680000000000003
2003-07-14,MARUTI,EQ,173.35,174.25,179.25,174.25,178.6,177.95,177.91,5982324,106431310030000.0,,1949217.0,0.3258
2003-07-15,MARUTI,EQ,177.95,200.0,200.0,173.0,176.3,176.2,176.88,6173689,109200079040000.02,,1307694.0,0.2118
2003-07-16,MARUTI,EQ,176.2,176.45,179.1,175.35,176.9,177.1,177.59,3759085,66756950310000.0,,1155442.0,0.3074
2003-07-17,MARUTI,EQ,177.1,177.5,178.0,170.65,170.7,172.2,175.48,3814181,66930296870000.01,,1064071.0,0.27899999999999997
2003-07-18,MARUTI,EQ,172.2,165.0,171.9,160.0,167.4,167.4,167.66,5375212,90119032225000.0,,1427995.0,0.2657
2003-07-21,MARUTI,EQ,167.4,169.0,169.4,163.05,164.0,164.9,166.67,3315845,55266461654999.99,,980379.0,0.2957
2003-07-22,MARUTI,EQ,164.9,164.0,169.15,162.1,168.6,167.25,165.06,4627992,76391242225000.0,,1257167.0,0.2716
2003-07-23,MARUTI,EQ,167.25,170.5,178.0,169.8,175.55,174.7,174.54,13262249,231475895185000.0,,2844659.0,0.2145
2003-07-24,MARUTI,EQ,174.7,175.9,177.0,172.85,173.65,174.1,174.45,4305936,75115291565000.0,,978929.0,0.2273
2003-07-25,MARUTI,EQ,174.1,174.4,175.0,172.1,174.0,173.65,173.66,2832967,49196036840000.0,,660197.0,0.233
2003-07-28,MARUTI,EQ,173.65,188.0,188.0,175.1,179.25,178.85,178.01,5415867,96408533950000.0,,1588110.0,0.2932
2003-07-29,MARUTI,EQ,178.85,179.95,182.9,179.1,180.2,180.3,180.93,5229181,94609623670000.0,,1063536.0,0.2034
2003-07-30,MARUTI,EQ,180.3,181.25,184.75,180.1,180.25,181.1,182.55,4632246,84560187540000.0,,1030033.0,0.2224
2003-07-31,MARUTI,EQ,181.1,181.7,183.65,179.65,181.0,180.85,181.87,3562717,64793564979999.99,,1074106.0,0.3015
2003-08-01,MARUTI,EQ,180.85,182.0,189.0,178.75,188.4,187.15,184.36,8027285,147988403625000.0,,2063463.0,0.2571
2003-08-04,MARUTI,EQ,187.15,187.85,198.5,185.0,197.5,197.6,194.65,9982429,194308419325000.0,,2693583.0,0.2698
2003-08-05,MARUTI,EQ,197.6,199.0,203.45,192.85,193.85,193.6,198.15,9651327,191243411805000.0,,1620470.0,0.1679
2003-08-06,MARUTI,EQ,193.6,191.5,197.5,189.85,191.75,191.6,193.45,7451054,144143452865000.0,,967268.0,0.1298
2003-08-07,MARUTI,EQ,191.6,193.5,196.0,192.25,195.7,195.4,194.27,3223676,62627593460000.0,,385620.0,0.11960000000000001
2003-08-08,MARUTI,EQ,195.4,197.0,198.9,196.0,197.5,197.15,197.37,2530289,49939316385000.0,,437784.0,0.17300000000000001
2003-08-11,MARUTI,EQ,197.15,198.1,203.8,196.0,201.8,202.2,201.71,5651311,113992705690000.02,,1265689.0,0.22399999999999998
2003-08-12,MARUTI,EQ,202.2,203.8,212.0,203.5,210.8,210.45,207.77,8215213,170688085400000.0,,2203451.0,0.2682
2003-08-13,MARUTI,EQ,210.45,213.0,219.5,212.0,218.5,217.8,215.87,7839204,169225236205000.0,,1901575.0,0.2426
2003-08-14,MARUTI,EQ,217.8,223.0,224.4,215.0,217.75,216.55,220.36,6298655,138799640305000.0,,1355058.0,0.2151
2003-08-18,MARUTI,EQ,216.55,218.1,221.0,215.4,218.25,216.9,217.99,3382031,73724577785000.0,,611465.0,0.1808
2003-08-19,MARUTI,EQ,216.9,219.85,219.9,215.0,215.3,215.65,216.41,3080091,66657748229999.99,,1069345.0,0.3472
2003-08-20,MARUTI,EQ,215.65,217.4,226.45,217.3,226.0,225.0,222.96,6049174,134870017690000.02,,1340738.0,0.22160000000000002
2003-08-21,MARUTI,EQ,225.0,227.0,228.9,223.3,228.1,227.95,226.97,4012069,91062556560000.0,,1079196.0,0.269
2003-08-22,MARUTI,EQ,227.95,228.05,232.8,225.9,229.2,229.3,229.44,4436016,101781757505000.0,,914376.0,0.2061
2003-08-25,MARUTI,EQ,229.3,230.0,231.45,216.1,220.5,221.05,222.47,4827198,107392371880000.0,,1391187.0,0.2882
2003-08-26,MARUTI,EQ,221.05,217.0,235.0,217.0,234.75,232.45,228.74,3968069,90764284990000.0,,966245.0,0.24350000000000002
2003-08-27,MARUTI,EQ,232.45,235.4,237.6,233.0,233.5,234.3,235.26,2267859,53353969540000.0,,493876.0,0.21780000000000002
2003-08-28,MARUTI,EQ,234.3,235.75,235.75,226.0,228.1,228.05,229.17,3554363,81453978085000.0,,1088383.0,0.3062
2003-08-29,MARUTI,EQ,228.05,232.05,238.5,231.5,235.2,235.4,235.52,3212067,75649531540000.0,,949924.0,0.2957
2003-09-01,MARUTI,EQ,235.4,236.4,237.0,231.7,237.0,235.55,234.78,2478236,58184367485000.0,,747252.0,0.3015
2003-09-02,MARUTI,EQ,235.55,234.85,234.85,224.1,226.1,226.55,226.77,3975812,90160215820000.0,,1401594.0,0.3525
2003-09-03,MARUTI,EQ,226.55,227.1,231.75,221.0,222.0,222.8,226.33,3945233,89290914585000.0,,780046.0,0.1977
2003-09-04,MARUTI,EQ,222.8,223.0,225.7,218.45,221.3,221.55,221.67,3682478,81629755145000.0,,1245787.0,0.3383
