Origin Time,Latitude,Longitude,Depth,Magnitude,Location
2021-07-31 09:43:23 IST,29.06,77.42,5,2.5,"53km NNE of New Delhi, India"
2021-07-30 23:04:57 IST,19.93,72.92,5,2.4,"91km W of Nashik, Maharashtra, India"
2021-07-30 21:31:10 IST,31.5,74.37,33,3.4,"49km WSW of Amritsar, Punjab, India"
2021-07-30 13:56:31 IST,28.34,76.23,5,3.1,"50km SW of Jhajjar, Haryana"
2021-07-30 07:19:38 IST,27.09,89.97,10,2.1,"53km SE of Thimphu, Bhutan"
2021-07-30 04:39:14 IST,38.52,73.27,115,5.2,"286km NE of Fayzabad, Afghanistan"
2021-07-30 03:33:16 IST,27.9,94.2,10,3,"48km W of Basar, Arunachal Pradesh, India"
2021-07-29 18:47:30 IST,26.6,92.51,28,3.1,"28km WSW of Tezpur, Assam, India"
2021-07-29 14:09:29 IST,22.88,95.95,10,5.5,"107km N of Burma, Myanmar"
2021-07-27 16:11:30 IST,37.96,72.39,160,4.3,"188km ENE of Fayzabad, Afghanistan"
2021-07-27 05:54:26 IST,32.29,76.65,10,2.6,"31km ENE of Dharamshala, Himachal Pradesh, India"
2021-07-26 16:38:34 IST,38.1,75.45,10,4.4,"399km N of Kargil, Laddakh, India"
2021-07-26 14:19:17 IST,36.78,73.49,19,4.2,"263km E of Fayzabad, Afghanistan"
2021-07-26 10:33:31 IST,24.6,94.33,50,4.9,"39km SSW of Ukhrul, Manipur, India"
2021-07-26 05:00:53 IST,16,78.22,10,4,"156km S of Hyderabad, Telangana, India"
2021-07-25 20:39:22 IST,27.29,88.5,10,4,"11km WSW of Gangtok, Sikkim"
2021-07-25 04:41:22 IST,37.37,71.85,100,4.2,"118km ENE of Fayzabad, Afghanistan"
2021-07-24 09:55:40 IST,28.97,77.2,18,2.4,"39km N of New Delhi, India"
2021-07-24 01:42:50 IST,36.57,70.78,250,4.5,"62km SSE of Fayzabad, Afghanistan"
2021-07-24 01:28:41 IST,30.74,78.68,10,3.4,"23km E of Uttarkashi, Uttarakhand, India"
2021-07-23 21:31:58 IST,27.56,91.13,10,3.2,"73km W of Tawang, Arunachal Pradesh, India"
2021-07-23 18:42:01 IST,27.35,86.86,10,3.5,"134km W of Yuksom, Sikkim, India"
2021-07-23 11:46:58 IST,25.94,92.56,5,2.9,"73km E of Nongpoh, Meghalaya, India"
2021-07-22 16:28:47 IST,24.84,94.15,40,3.5,"21km E of Imphal, Manipur, India"
2021-07-22 07:42:15 IST,29.65,69.5,15,4.8,"413km WNW of Bikaner, Rajasthan, India"
2021-07-21 12:45:04 IST,27.32,88.86,10,2.8,"24km E of Gangtok, Sikkim"
2021-07-21 10:12:30 IST,36.88,71.61,23,3.6,"97km ESE of Fayzabad, Afghanistan"
2021-07-21 05:24:29 IST,29.19,70.05,110,5.3,"343km WNW of Bikaner, Rajasthan, India"
2021-07-21 04:57:46 IST,34.2,77.78,200,3.6,"19km ENE of Leh, Laddakh, India"
2021-07-21 02:10:49 IST,25.88,90.34,10,4.1,"42km NNE of Tura, Meghalaya, India"
2021-07-21 02:06:28 IST,29.01,76.91,5,2.1,"32km ENE of Rohtak, Haryana, India"
2021-07-21 01:18:07 IST,29.01,76.91,5,2.3,"32km ENE of Rohtak, Haryana, India"
2021-07-20 23:19:21 IST,29.28,69.05,250,4.5,"438km WNW of Bikaner, Rajasthan, India"
2021-07-19 21:03:34 IST,20.02,72.92,5,3.4,"90km W of Nashik, Maharashtra, India"
2021-07-19 18:46:58 IST,27.4,88.62,10,3.2,"6km N of Gangtok, Sikkim, India"
2021-07-18 20:44:34 IST,28.84,81.22,23,3.8,"127km SE of Pithoragarh, Uttarakhand, India"
2021-07-18 12:43:39 IST,23.39,70.39,10,3.9,"127km NNW of Rajkot, Gujarat, India"
2021-07-18 10:08:58 IST,34.13,77.8,20,3.7,"20km E of Leh, Laddakh, India"
2021-07-18 04:48:28 IST,32.43,76.48,10,2.6,"27km NNE of Dharamshala, Himachal Pradesh, India"
2021-07-18 02:59:02 IST,28.75,76.6,10,2.2,"16km S of Rohtak, Haryana, India"
2021-07-18 02:55:14 IST,28.69,76.71,10,2.8,"10km NNE of Jhajjar, Haryana"
2021-07-16 23:32:28 IST,31.58,78.19,5,3.1,"97km NNW of Uttarkashi, Uttarakhand, India"
2021-07-16 09:54:15 IST,37.23,71.25,146,3.6,"63km ENE of Fayzabad, Afghanistan"
2021-07-16 08:39:11 IST,26.48,92.44,10,3.4,"40km WSW of Tezpur, Assam, India"
2021-07-16 00:51:46 IST,22.48,94.42,10,3.1,"155km SE of Champhai, Mizoram, India"
2021-07-15 19:47:26 IST,31.19,77.92,10,3.6,"71km NW of Uttarkashi, Uttarakhand, India"
2021-07-15 07:23:18 IST,17.47,73.26,5,3.5,"132km SSW of Pune, Maharashtra, India"
2021-07-15 05:48:34 IST,36.66,71.64,10,4,"108km ESE of Fayzabad, Afghanistan"
2021-07-15 02:04:40 IST,23.46,94.61,19,4.4,"130km E of Champhai, Mizoram, India"
2021-07-15 01:40:51 IST,22.45,94.19,10,3.8,"142km SE of Champhai, Mizoram, India"
2021-07-15 00:03:08 IST,36.52,71.14,10,3.5,"83km SE of Fayzabad, Afghanistan"
2021-07-14 23:33:26 IST,28.89,89,10,3.4,"135km N of Lachung, Sikkim, India"
2021-07-14 19:55:09 IST,25.99,90.4,8,3.4,"56km NNE of Tura, Meghalaya, India"
2021-07-14 13:47:49 IST,36.52,71.31,70,3.9,"93km SE of Fayzabad, Afghanistan"
2021-07-14 11:17:27 IST,36.56,71.43,20,3.9,"98km SE of Fayzabad, Afghanistan"
2021-07-14 02:40:33 IST,36.47,70.72,165,4.6,"71km SSE of Fayzabad, Afghanistan"
2021-07-13 22:40:28 IST,29.12,77.4,5,2.4,"59km NNE of New Delhi, India"
2021-07-13 01:44:59 IST,14.5,93.14,10,4.2,"138km N of Diglipur, Andaman and Nicobar island, India"
2021-07-12 04:49:18 IST,38.44,71.59,10,3.1,"174km NNE of Fayzabad, Afghanistan"
2021-07-11 12:19:09 IST,39.11,69.57,130,3.8,"91km NE of Dushanbe, Tajikistan"
2021-07-11 08:42:04 IST,19.7,77.28,10,3,"114km SSE of Akola,Maharashtra,India"
2021-07-11 08:33:17 IST,19.73,77.77,10,4.4,"122km NNW of Nizamabad, Telangana, India"
2021-07-11 07:04:49 IST,38.81,70.34,10,4.2,"137km ENE of Dushanbe, Tajikistan"
2021-07-10 11:36:10 IST,39.14,70.94,160,4.3,"197km ENE of Dushanbe, Tajikistan"
2021-07-10 11:18:08 IST,39.04,70.68,160,4.7,"172km ENE of Dushanbe, Tajikistan"
2021-07-10 08:11:14 IST,2.25,97.29,40,5.5,"498km WSW of Kuala Lumpur, Malaysia"
